sample_id,split,marker_type,marker_id,marker_text,distance_m,x_deg,y_deg,occlusion_pct,lighting,qr_size_m,rgb_path,depth_path,disp_path,seg_path,fx,fy,cx,cy,baseline_m,img_width,img_height
qr_distance_d030,qr_distance,qr,0,qr_10cm,0.3,0.0,0.0,0.0,normal,0.1,qr_distance/rgb_qr_distance_d030.png,qr_distance/depth_mm_qr_distance_d030.png,qr_distance/disp_qr_distance_d030.png,qr_distance/seg_qr_distance_d030.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_distance_d060,qr_distance,qr,0,qr_10cm,0.6,0.0,0.0,0.0,normal,0.1,qr_distance/rgb_qr_distance_d060.png,qr_distance/depth_mm_qr_distance_d060.png,qr_distance/disp_qr_distance_d060.png,qr_distance/seg_qr_distance_d060.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_distance_d100,qr_distance,qr,0,qr_10cm,1.0,0.0,0.0,0.0,normal,0.1,qr_distance/rgb_qr_distance_d100.png,qr_distance/depth_mm_qr_distance_d100.png,qr_distance/disp_qr_distance_d100.png,qr_distance/seg_qr_distance_d100.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_distance_d150,qr_distance,qr,0,qr_10cm,1.5,0.0,0.0,0.0,normal,0.1,qr_distance/rgb_qr_distance_d150.png,qr_distance/depth_mm_qr_distance_d150.png,qr_distance/disp_qr_distance_d150.png,qr_distance/seg_qr_distance_d150.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_distance_d200,qr_distance,qr,0,qr_10cm,2.0,0.0,0.0,0.0,normal,0.1,qr_distance/rgb_qr_distance_d200.png,qr_distance/depth_mm_qr_distance_d200.png,qr_distance/disp_qr_distance_d200.png,qr_distance/seg_qr_distance_d200.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_distance_d250,qr_distance,qr,0,qr_10cm,2.5,0.0,0.0,0.0,normal,0.1,qr_distance/rgb_qr_distance_d250.png,qr_distance/depth_mm_qr_distance_d250.png,qr_distance/disp_qr_distance_d250.png,qr_distance/seg_qr_distance_d250.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_distance_d300,qr_distance,qr,0,qr_10cm,3.0,0.0,0.0,0.0,normal,0.1,qr_distance/rgb_qr_distance_d300.png,qr_distance/depth_mm_qr_distance_d300.png,qr_distance/disp_qr_distance_d300.png,qr_distance/seg_qr_distance_d300.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_distance_d350,qr_distance,qr,0,qr_10cm,3.5,0.0,0.0,0.0,normal,0.1,qr_distance/rgb_qr_distance_d350.png,qr_distance/depth_mm_qr_distance_d350.png,qr_distance/disp_qr_distance_d350.png,qr_distance/seg_qr_distance_d350.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_x_rotation_xm60,qr_x_rotation,qr,0,qr_10cm,0.6,-60,0.0,0.0,normal,0.1,qr_x_rotation/rgb_qr_x_rotation_xm60.png,qr_x_rotation/depth_mm_qr_x_rotation_xm60.png,qr_x_rotation/disp_qr_x_rotation_xm60.png,qr_x_rotation/seg_qr_x_rotation_xm60.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_x_rotation_xm40,qr_x_rotation,qr,0,qr_10cm,0.6,-40,0.0,0.0,normal,0.1,qr_x_rotation/rgb_qr_x_rotation_xm40.png,qr_x_rotation/depth_mm_qr_x_rotation_xm40.png,qr_x_rotation/disp_qr_x_rotation_xm40.png,qr_x_rotation/seg_qr_x_rotation_xm40.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_x_rotation_xm20,qr_x_rotation,qr,0,qr_10cm,0.6,-20,0.0,0.0,normal,0.1,qr_x_rotation/rgb_qr_x_rotation_xm20.png,qr_x_rotation/depth_mm_qr_x_rotation_xm20.png,qr_x_rotation/disp_qr_x_rotation_xm20.png,qr_x_rotation/seg_qr_x_rotation_xm20.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_x_rotation_xp00,qr_x_rotation,qr,0,qr_10cm,0.6,0,0.0,0.0,normal,0.1,qr_x_rotation/rgb_qr_x_rotation_xp00.png,qr_x_rotation/depth_mm_qr_x_rotation_xp00.png,qr_x_rotation/disp_qr_x_rotation_xp00.png,qr_x_rotation/seg_qr_x_rotation_xp00.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_x_rotation_xp20,qr_x_rotation,qr,0,qr_10cm,0.6,20,0.0,0.0,normal,0.1,qr_x_rotation/rgb_qr_x_rotation_xp20.png,qr_x_rotation/depth_mm_qr_x_rotation_xp20.png,qr_x_rotation/disp_qr_x_rotation_xp20.png,qr_x_rotation/seg_qr_x_rotation_xp20.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_x_rotation_xp40,qr_x_rotation,qr,0,qr_10cm,0.6,40,0.0,0.0,normal,0.1,qr_x_rotation/rgb_qr_x_rotation_xp40.png,qr_x_rotation/depth_mm_qr_x_rotation_xp40.png,qr_x_rotation/disp_qr_x_rotation_xp40.png,qr_x_rotation/seg_qr_x_rotation_xp40.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_x_rotation_xp60,qr_x_rotation,qr,0,qr_10cm,0.6,60,0.0,0.0,normal,0.1,qr_x_rotation/rgb_qr_x_rotation_xp60.png,qr_x_rotation/depth_mm_qr_x_rotation_xp60.png,qr_x_rotation/disp_qr_x_rotation_xp60.png,qr_x_rotation/seg_qr_x_rotation_xp60.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_y_rotation_ym60,qr_y_rotation,qr,0,qr_10cm,0.6,0.0,-60,0.0,normal,0.1,qr_y_rotation/rgb_qr_y_rotation_ym60.png,qr_y_rotation/depth_mm_qr_y_rotation_ym60.png,qr_y_rotation/disp_qr_y_rotation_ym60.png,qr_y_rotation/seg_qr_y_rotation_ym60.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_y_rotation_ym40,qr_y_rotation,qr,0,qr_10cm,0.6,0.0,-40,0.0,normal,0.1,qr_y_rotation/rgb_qr_y_rotation_ym40.png,qr_y_rotation/depth_mm_qr_y_rotation_ym40.png,qr_y_rotation/disp_qr_y_rotation_ym40.png,qr_y_rotation/seg_qr_y_rotation_ym40.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_y_rotation_ym20,qr_y_rotation,qr,0,qr_10cm,0.6,0.0,-20,0.0,normal,0.1,qr_y_rotation/rgb_qr_y_rotation_ym20.png,qr_y_rotation/depth_mm_qr_y_rotation_ym20.png,qr_y_rotation/disp_qr_y_rotation_ym20.png,qr_y_rotation/seg_qr_y_rotation_ym20.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_y_rotation_yp00,qr_y_rotation,qr,0,qr_10cm,0.6,0.0,0,0.0,normal,0.1,qr_y_rotation/rgb_qr_y_rotation_yp00.png,qr_y_rotation/depth_mm_qr_y_rotation_yp00.png,qr_y_rotation/disp_qr_y_rotation_yp00.png,qr_y_rotation/seg_qr_y_rotation_yp00.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_y_rotation_yp20,qr_y_rotation,qr,0,qr_10cm,0.6,0.0,20,0.0,normal,0.1,qr_y_rotation/rgb_qr_y_rotation_yp20.png,qr_y_rotation/depth_mm_qr_y_rotation_yp20.png,qr_y_rotation/disp_qr_y_rotation_yp20.png,qr_y_rotation/seg_qr_y_rotation_yp20.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_y_rotation_yp40,qr_y_rotation,qr,0,qr_10cm,0.6,0.0,40,0.0,normal,0.1,qr_y_rotation/rgb_qr_y_rotation_yp40.png,qr_y_rotation/depth_mm_qr_y_rotation_yp40.png,qr_y_rotation/disp_qr_y_rotation_yp40.png,qr_y_rotation/seg_qr_y_rotation_yp40.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_y_rotation_yp60,qr_y_rotation,qr,0,qr_10cm,0.6,0.0,60,0.0,normal,0.1,qr_y_rotation/rgb_qr_y_rotation_yp60.png,qr_y_rotation/depth_mm_qr_y_rotation_yp60.png,qr_y_rotation/disp_qr_y_rotation_yp60.png,qr_y_rotation/seg_qr_y_rotation_yp60.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_occlusion_occ05,qr_occlusion,qr,0,qr_10cm,0.6,0.0,0.0,0.05,normal,0.1,qr_occlusion/rgb_qr_occlusion_occ05.png,qr_occlusion/depth_mm_qr_occlusion_occ05.png,qr_occlusion/disp_qr_occlusion_occ05.png,qr_occlusion/seg_qr_occlusion_occ05.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_occlusion_occ10,qr_occlusion,qr,0,qr_10cm,0.6,0.0,0.0,0.1,normal,0.1,qr_occlusion/rgb_qr_occlusion_occ10.png,qr_occlusion/depth_mm_qr_occlusion_occ10.png,qr_occlusion/disp_qr_occlusion_occ10.png,qr_occlusion/seg_qr_occlusion_occ10.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_occlusion_occ15,qr_occlusion,qr,0,qr_10cm,0.6,0.0,0.0,0.15,normal,0.1,qr_occlusion/rgb_qr_occlusion_occ15.png,qr_occlusion/depth_mm_qr_occlusion_occ15.png,qr_occlusion/disp_qr_occlusion_occ15.png,qr_occlusion/seg_qr_occlusion_occ15.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_occlusion_occ20,qr_occlusion,qr,0,qr_10cm,0.6,0.0,0.0,0.2,normal,0.1,qr_occlusion/rgb_qr_occlusion_occ20.png,qr_occlusion/depth_mm_qr_occlusion_occ20.png,qr_occlusion/disp_qr_occlusion_occ20.png,qr_occlusion/seg_qr_occlusion_occ20.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_lighting_bright,qr_lighting,qr,0,qr_10cm,0.6,0.0,0.0,0.0,bright,0.1,qr_lighting/rgb_qr_lighting_bright.png,qr_lighting/depth_mm_qr_lighting_bright.png,qr_lighting/disp_qr_lighting_bright.png,qr_lighting/seg_qr_lighting_bright.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_lighting_normal,qr_lighting,qr,0,qr_10cm,0.6,0.0,0.0,0.0,normal,0.1,qr_lighting/rgb_qr_lighting_normal.png,qr_lighting/depth_mm_qr_lighting_normal.png,qr_lighting/disp_qr_lighting_normal.png,qr_lighting/seg_qr_lighting_normal.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
qr_lighting_dim,qr_lighting,qr,0,qr_10cm,0.6,0.0,0.0,0.0,dim,0.1,qr_lighting/rgb_qr_lighting_dim.png,qr_lighting/depth_mm_qr_lighting_dim.png,qr_lighting/disp_qr_lighting_dim.png,qr_lighting/seg_qr_lighting_dim.png,883.1514166656362,883.1514166656362,640.0,360.0,0.075,1280,720
